toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
3361.01,440324561,APC,09h37m49.45s,144.456031,-59d06m54.31s,-59.115086,-48.692,0.053,-0.053,0.0,20.043,0.049,-0.049,0.0,2459293.124687,0.000518,-0.000518,0,10.5634342,1.26e-05,-1.26e-05,0,1.011,0.111,-0.111,0,11150.0,22.8131,-22.8131,0,12.1545,1.03408,-1.03408,0,3.01202,,,,367.0,,,,10.956,0.006,-0.006,0,136.169,0.522,-0.522,0,4688.0,125.4,-125.4,0,4.33,0.09,-0.09,0,0.99,0.07,-0.07,0,2021-06-15 23:02:45,2022-03-23 12:02:08
3380.01,176148945,APC,08h06m20.58s,121.585737,-22d05m38.66s,-22.094073,-0.4,3.6,-3.6,0.0,8.6,3.8,-3.8,0.0,2459249.847236,0.007539,-0.007539,0,2.0086823,2.42e-05,-2.42e-05,0,1.903,0.412,-0.412,0,1150.0,5.37793,-5.37793,0,7.75485,,,0,3645.6,,,,,,,,11.756,0.006,-0.006,0,1062.66,,,0,8516.0,,,0,,,,0,2.19,,,0,2021-06-16 22:56:24,2024-08-22 10:08:01
3390.01,96055535,APC,09h46m33.92s,146.64134,-08d36m17.27s,-8.604797,-2.871,2.198,-2.198,0.0,10.242,2.198,-2.198,0.0,2459278.561159,0.001347,-0.001347,0,5.4033373,1.51e-05,-1.51e-05,0,1.421,0.147,-0.147,0,14900.0,17.4915,-17.4915,0,18.9875,0.739532,-0.739532,0,26.5343,,,,632.0,,,,13.2958,0.006,-0.006,0,,,,0,4977.7,37.0,-37.0,0,,,,0,1.49,0.02,-0.02,0,2021-06-16 22:56:26,2024-08-22 10:08:01
3430.01,118329434,APC,08h37m47.02s,129.445897,-19d38m04.99s,-19.63472,-3.406,0.047,-0.047,0.0,-4.061,0.041,-0.041,0.0,2459243.222963,0.001538,-0.001538,0,5.0949767,1.53e-05,-1.53e-05,0,4.57,0.168,-0.168,0,4150.0,1.14286,-1.14286,0,15.7588,0.860436,-0.860436,0,915.595,,,,1532.0,,,,11.8807,0.007,-0.007,0,872.374,25.573,-25.573,0,6565.0,248.5,-248.5,0,4.18,1.83,-1.83,0,2.25,0.12,-0.12,0,2021-06-16 22:56:32,2024-08-22 10:08:01
3455.01,358938714,APC,12h01m17.33s,180.322203,-76d23m58.48s,-76.399578,-12.5,0.031,-0.031,0.0,3.685,0.027,-0.027,0.0,2458651.744921,0.002583,-0.002583,0,0.422425,2.95e-05,-2.95e-05,0,0.68,0.159,-0.159,0,4090.0,35.6826,-35.6826,0,8.6772,,,0,1423.41,,,,1711.0,,,,13.3477,0.006,-0.006,0,532.33,4.7775,-4.7775,0,5269.0,122.0,-122.0,0,4.25,,,0,1.18,,,0,2021-06-16 23:32:17,2024-12-18 12:02:56
3487.01,301160638,APC,17h00m27.12s,255.113012,-67d46m51.71s,-67.781031,0.095,0.043,-0.043,0.0,-4.0,0.051,-0.051,0.0,2459378.988034,0.000614,-0.000614,0,16.0085751,0.0008264,-0.0008264,0,4.452,0.129,-0.129,0,14340.0,327.74,-327.74,0,19.3218,2.35152,-2.35152,0,150.886,,,,976.0,,,,10.1862,0.006,-0.006,0,173.108,1.2335,-1.2335,0,5992.0,192.0,-192.0,0,4.34939,0.286664,-0.286664,0,1.08,0.05,-0.05,0,2021-06-16 23:32:22,2024-08-22 10:08:01
350.01,199731190,APC,01h25m10.09s,21.292047,-47d15m46.19s,-47.262831,11.019,0.025,-0.025,0.0,26.953,0.028,-0.028,0.0,2459109.819661,0.001529,-0.001529,0,2.5130547,6.2e-06,-6.2e-06,0,1.796,0.216,-0.216,0,5050.0,545.757,-545.757,0,8.55709,2.22347,-2.22347,0,1258.82,,,,1659.0,,,,12.3856,0.006,-0.006,0,341.681,2.2095,-2.2095,0,5635.0,280.6,-280.6,0,4.41,2.0,-2.0,0,0.85,0.04,-0.04,0,2018-12-20 19:43:30,2022-03-29 16:02:01
3501.01,98957720,APC,12h04m00.19s,181.000805,-28d19m31.25s,-28.325347,-42.517,0.061,-0.061,0.0,-3.516,0.031,-0.031,0.0,2459313.471423,0.000216,-0.000216,0,15.3502505,7.2e-06,-7.2e-06,0,2.87,0.068,-0.068,0,26220.0,82.9622,-82.9622,0,19.2152,1.34199,-1.34199,0,52.6633,,,,750.0,,,,10.7413,0.006,-0.006,0,206.21,1.916,-1.916,0,5782.5,178.7,-178.7,0,3.92,0.12,-0.12,0,1.0,0.05,-0.05,0,2021-06-21 18:48:12,2023-01-25 10:10:01
3511.01,416368336,APC,19h09m06.03s,287.275134,+28d21m45.48s,28.362632,-21.586,0.028,-0.028,0.0,-7.008,0.033,-0.033,0.0,2459794.669721,0.001216,-0.001216,0,1.0848133,2.4e-06,-2.4e-06,0,1.074,0.118,-0.118,0,14120.0,1023.48,-1023.48,0,12.3151,,,0,289.23,,,,1148.0,,,,13.4539,0.01,-0.01,0,427.611,3.8865,-3.8865,0,4670.0,122.0,-122.0,0,4.32,,,0,0.99,,,0,2021-06-23 15:10:47,2024-08-22 10:08:01
352.01,47423120,APC,22h48m16.21s,342.067547,-24d50m19.27s,-24.838685,9.592,0.222,-0.222,0.0,-20.271,0.111,-0.111,0.0,2458356.83006,0.0002,-0.0002,0,11.6235,0.00022,-0.00022,0,2.783,0.142,-0.142,0,44708.7,19.9684,-19.9684,0,20.7208,1.02159,-1.02159,0,31.7369,,,,661.0,,,,11.014,0.007,-0.007,0,183.391,2.38,-2.38,0,5518.0,125.0,-125.0,0,4.34,2.0,-2.0,0,0.89,0.04,-0.04,0,2018-12-20 19:43:30,2021-12-06 16:02:02
3530.01,64214215,APC,20h36m20.07s,309.083635,+38d54m59.24s,38.916455,-0.582,0.048,-0.048,0.0,-2.352,0.047,-0.047,0.0,2459823.602847,0.001575,-0.001575,0,1.3570332,3.1e-06,-3.1e-06,0,1.161,0.141,-0.141,0,2150.0,159.206,-159.206,0,,,,0,13694.3,,,,3013.0,,,,11.4204,0.047,-0.047,0,897.453,24.624,-24.624,0,12679.0,131.0,-131.0,0,,,,0,,,,0,2021-06-23 15:11:38,2024-08-22 10:08:01
3531.01,316038054,APC,21h25m30.6s,321.377492,+55d43m22.57s,55.722936,-17.395,0.1,-0.1,0.0,-15.802,0.065,-0.065,0.0,2459825.332652,0.000336,-0.000336,0,3.8099858,4.26e-05,-4.26e-05,0,4.3118658,0.024513,-0.024513,0,13073.8770598,71.76896,-71.76896,0,18.6054746,0.8436267,-0.8436267,0,1563.275145,,,,1603.7202215,,,,10.711,0.006,-0.006,0,360.072,6.0195,-6.0195,0,6674.0,343.5,-343.5,0,4.19,0.1,-0.1,0,1.58842,0.0715879,-0.0715879,0,2021-06-23 15:11:38,2024-09-08 10:08:02
354.01,100097716,APC,01h36m11.49s,24.047859,-42d18m13.34s,-42.303706,24.819,0.076,-0.076,0.0,14.274,0.082,-0.082,0.0,2459140.430589,0.000353,-0.000353,0,3.0002084,2.2e-06,-2.2e-06,0,1.7,0.075,-0.075,0,8545.0,1478.81,-1478.81,0,25.2021,6.12219,-6.12219,0,777.419,,,,1471.0,,,,11.3534,0.006,-0.006,0,366.824,8.772,-8.772,0,5767.0,121.0,-121.0,0,4.15,0.08,-0.08,0,1.41,0.07,-0.07,0,2018-12-20 19:43:30,2022-10-20 16:02:02
