parameter,value
planet_1_rp_r_star,0.0588888858856616
planet_1_rp_r_star_err,0.0005649069517478186
planet_1_rp_r_star_16,0.058453485355253555
planet_1_rp_r_star_84,0.05949894471640171
planet_1_b,0.793602128853178
planet_1_b_err,0.015661980657556144
planet_1_b_16,0.7773898339907448
planet_1_b_84,0.8079516278170721
planet_1_period,2.488802862293464
planet_1_period_err,2.874498525552615e-05
planet_1_period_16,2.488774512396848
planet_1_period_84,2.488831509819186
planet_1_t0,3830.539475649615
planet_1_t0_err,0.00035401520289555274
planet_1_t0_16,3830.539125801867
planet_1_t0_84,3830.5398321977523
planet_1_rho_star,0.26021682916878364
planet_1_rho_star_err,0.021107501588443153
planet_1_rho_star_16,0.24062150156763115
planet_1_rho_star_84,0.2821264233838831
planet_1_a_r_star,4.401845644927681
planet_1_a_r_star_err,0.11820790694695849
planet_1_a_r_star_16,4.288453461045389
planet_1_a_r_star_84,4.522082586678704
planet_1_t14_hr,3.0929133216390996
planet_1_t14_hr_err,0.02059716809199973
planet_1_t14_hr_16,3.0727802336710996
planet_1_t14_hr_84,3.1135589970304425
planet_1_rp_earth,12.510279032584261
planet_1_rp_earth_err,3.7513755992601956
planet_1_rp_earth_16,8.813269952627689
planet_1_rp_earth_84,16.233925535664262
planet_1_a_au,0.03983897200618892
planet_1_a_au_err,0.011973698424664631
planet_1_a_au_16,0.028048323998154226
planet_1_a_au_84,0.05176547062847862
planet_1_t_eq,2712.5035056544566
planet_1_t_eq_err,49.81947317972295
planet_1_t_eq_16,2662.302023494164
planet_1_t_eq_84,2761.5358039314774
stellar_r_star,1.9441209960960482
stellar_r_star_err,0.5832362988288144
stellar_m_star,1.7573195045705026
stellar_m_star_err,
stellar_teff,8048.0
stellar_teff_err,
stellar_logg,4.438
stellar_logg_err,
stellar_feh,
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_parallax,4.280420987537486
stellar_parallax_err,0.044631440192461014
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_r_star_unit,R_sun
stellar_m_star_unit,M_sun
stellar_rho_star_unit,g/cm^3
stellar_rho_star,0.33717136628634947
stellar_rho_star_err,
stellar_reference,Main-sequence Teff scaling+Gaia DR3
stellar_teff_source,Gaia
stellar_teff_ref,Gaia DR3
stellar_teff_unit,K
stellar_logg_source,Gaia
stellar_logg_ref,Gaia DR3
stellar_logg_unit,dex
stellar_parallax_source,Gaia
stellar_parallax_ref,Gaia DR3
stellar_parallax_unit,mas
stellar_r_star_source,Derived (Teff scaling)
stellar_r_star_ref,Main-sequence Teff scaling
stellar_m_star_source,Torres et al. 2010
stellar_m_star_ref,Torres et al. (2010)
period_d,2.488852654234613
period_source,archive
